PLAYDATA Board1, random100, random100 : 1, 0, 0
PLAYDATA Board1, random100, hyouka-0-100 : 1, 0, 0
PLAYDATA Board1, random100, MC-100 : 0, 1, 0
PLAYDATA Board1, random100, MCT : 0, 1, 0
PLAYDATA Board1, random100, EPT_MCT1730 : 0, 1, 0
PLAYDATA Board1, random100, EPT_MCT8500 : 0, 1, 0
PLAYDATA Board1, random100, AlphaBeta1 : 0, 1, 0
PLAYDATA Board1, random100, AlphaBeta2 : 0, 1, 0
PLAYDATA Board1, random100, AlphaBeta4 : 0, 1, 0
PLAYDATA Board1, hyouka-0-100, random100 : 0, 0, 1
PLAYDATA Board1, hyouka-0-100, hyouka-0-100 : 1, 0, 0
PLAYDATA Board1, hyouka-0-100, MC-100 : 1, 0, 0
PLAYDATA Board1, hyouka-0-100, MCT : 1, 0, 0
PLAYDATA Board1, hyouka-0-100, EPT_MCT1730 : 1, 0, 0
PLAYDATA Board1, hyouka-0-100, EPT_MCT8500 : 1, 0, 0
PLAYDATA Board1, hyouka-0-100, AlphaBeta1 : 1, 0, 0
PLAYDATA Board1, hyouka-0-100, AlphaBeta2 : 1, 0, 0
PLAYDATA Board1, hyouka-0-100, AlphaBeta4 : 0, 1, 0
PLAYDATA Board1, MC-100, random100 : 1, 0, 0
PLAYDATA Board1, MC-100, hyouka-0-100 : 1, 0, 0
PLAYDATA Board1, MC-100, MC-100 : 1, 0, 0
PLAYDATA Board1, MC-100, MCT : 1, 0, 0
PLAYDATA Board1, MC-100, EPT_MCT1730 : 0, 1, 0
PLAYDATA Board1, MC-100, EPT_MCT8500 : 1, 0, 0
PLAYDATA Board1, MC-100, AlphaBeta1 : 1, 0, 0
PLAYDATA Board1, MC-100, AlphaBeta2 : 0, 0, 1
PLAYDATA Board1, MC-100, AlphaBeta4 : 0, 1, 0
PLAYDATA Board1, MCT, random100 : 1, 0, 0
PLAYDATA Board1, MCT, hyouka-0-100 : 1, 0, 0
PLAYDATA Board1, MCT, MC-100 : 1, 0, 0
PLAYDATA Board1, MCT, MCT : 1, 0, 0
PLAYDATA Board1, MCT, EPT_MCT1730 : 1, 0, 0
PLAYDATA Board1, MCT, EPT_MCT8500 : 0, 1, 0
PLAYDATA Board1, MCT, AlphaBeta1 : 1, 0, 0
PLAYDATA Board1, MCT, AlphaBeta2 : 0, 1, 0
PLAYDATA Board1, MCT, AlphaBeta4 : 0, 1, 0
PLAYDATA Board1, EPT_MCT1730, random100 : 1, 0, 0
PLAYDATA Board1, EPT_MCT1730, hyouka-0-100 : 1, 0, 0
PLAYDATA Board1, EPT_MCT1730, MC-100 : 1, 0, 0
PLAYDATA Board1, EPT_MCT1730, MCT : 1, 0, 0
PLAYDATA Board1, EPT_MCT1730, EPT_MCT1730 : 1, 0, 0
PLAYDATA Board1, EPT_MCT1730, EPT_MCT8500 : 1, 0, 0
PLAYDATA Board1, EPT_MCT1730, AlphaBeta1 : 1, 0, 0
PLAYDATA Board1, EPT_MCT1730, AlphaBeta2 : 1, 0, 0
PLAYDATA Board1, EPT_MCT1730, AlphaBeta4 : 1, 0, 0
PLAYDATA Board1, EPT_MCT8500, random100 : 1, 0, 0
PLAYDATA Board1, EPT_MCT8500, hyouka-0-100 : 1, 0, 0
PLAYDATA Board1, EPT_MCT8500, MC-100 : 1, 0, 0
PLAYDATA Board1, EPT_MCT8500, MCT : 1, 0, 0
PLAYDATA Board1, EPT_MCT8500, EPT_MCT1730 : 1, 0, 0
PLAYDATA Board1, EPT_MCT8500, EPT_MCT8500 : 1, 0, 0
PLAYDATA Board1, EPT_MCT8500, AlphaBeta1 : 1, 0, 0
PLAYDATA Board1, EPT_MCT8500, AlphaBeta2 : 1, 0, 0
PLAYDATA Board1, EPT_MCT8500, AlphaBeta4 : 1, 0, 0
PLAYDATA Board1, AlphaBeta1, random100 : 1, 0, 0
PLAYDATA Board1, AlphaBeta1, hyouka-0-100 : 1, 0, 0
PLAYDATA Board1, AlphaBeta1, MC-100 : 1, 0, 0
PLAYDATA Board1, AlphaBeta1, MCT : 1, 0, 0
PLAYDATA Board1, AlphaBeta1, EPT_MCT1730 : 1, 0, 0
PLAYDATA Board1, AlphaBeta1, EPT_MCT8500 : 0, 1, 0
PLAYDATA Board1, AlphaBeta1, AlphaBeta1 : 0, 1, 0
PLAYDATA Board1, AlphaBeta1, AlphaBeta2 : 1, 0, 0
PLAYDATA Board1, AlphaBeta1, AlphaBeta4 : 0, 1, 0
PLAYDATA Board1, AlphaBeta2, random100 : 1, 0, 0
PLAYDATA Board1, AlphaBeta2, hyouka-0-100 : 1, 0, 0
PLAYDATA Board1, AlphaBeta2, MC-100 : 1, 0, 0
PLAYDATA Board1, AlphaBeta2, MCT : 1, 0, 0
PLAYDATA Board1, AlphaBeta2, EPT_MCT1730 : 1, 0, 0
PLAYDATA Board1, AlphaBeta2, EPT_MCT8500 : 1, 0, 0
PLAYDATA Board1, AlphaBeta2, AlphaBeta1 : 1, 0, 0
PLAYDATA Board1, AlphaBeta2, AlphaBeta2 : 1, 0, 0
PLAYDATA Board1, AlphaBeta2, AlphaBeta4 : 1, 0, 0
PLAYDATA Board1, AlphaBeta4, random100 : 1, 0, 0
PLAYDATA Board1, AlphaBeta4, hyouka-0-100 : 1, 0, 0
PLAYDATA Board1, AlphaBeta4, MC-100 : 1, 0, 0
PLAYDATA Board1, AlphaBeta4, MCT : 1, 0, 0
PLAYDATA Board1, AlphaBeta4, EPT_MCT1730 : 1, 0, 0
PLAYDATA Board1, AlphaBeta4, EPT_MCT8500 : 1, 0, 0
PLAYDATA Board1, AlphaBeta4, AlphaBeta1 : 1, 0, 0
PLAYDATA Board1, AlphaBeta4, AlphaBeta2 : 1, 0, 0
PLAYDATA Board1, AlphaBeta4, AlphaBeta4 : 1, 0, 0
PLAYDATA Board2, random100, random100 : 0, 0, 1
PLAYDATA Board2, random100, hyouka-0-100 : 0, 1, 0
PLAYDATA Board2, random100, MC-100 : 0, 1, 0
PLAYDATA Board2, random100, MCT : 0, 1, 0
PLAYDATA Board2, random100, EPT_MCT1730 : 0, 1, 0
PLAYDATA Board2, random100, EPT_MCT8500 : 0, 1, 0
PLAYDATA Board2, random100, AlphaBeta1 : 0, 1, 0
PLAYDATA Board2, random100, AlphaBeta2 : 0, 1, 0
PLAYDATA Board2, random100, AlphaBeta4 : 0, 1, 0
PLAYDATA Board2, hyouka-0-100, random100 : 1, 0, 0
PLAYDATA Board2, hyouka-0-100, hyouka-0-100 : 0, 1, 0
PLAYDATA Board2, hyouka-0-100, MC-100 : 0, 1, 0
PLAYDATA Board2, hyouka-0-100, MCT : 1, 0, 0
PLAYDATA Board2, hyouka-0-100, EPT_MCT1730 : 0, 1, 0
PLAYDATA Board2, hyouka-0-100, EPT_MCT8500 : 0, 1, 0
PLAYDATA Board2, hyouka-0-100, AlphaBeta1 : 0, 1, 0
PLAYDATA Board2, hyouka-0-100, AlphaBeta2 : 0, 1, 0
PLAYDATA Board2, hyouka-0-100, AlphaBeta4 : 0, 1, 0
PLAYDATA Board2, MC-100, random100 : 1, 0, 0
PLAYDATA Board2, MC-100, hyouka-0-100 : 1, 0, 0
PLAYDATA Board2, MC-100, MC-100 : 0, 1, 0
PLAYDATA Board2, MC-100, MCT : 0, 1, 0
PLAYDATA Board2, MC-100, EPT_MCT1730 : 0, 1, 0
PLAYDATA Board2, MC-100, EPT_MCT8500 : 0, 1, 0
PLAYDATA Board2, MC-100, AlphaBeta1 : 0, 1, 0
PLAYDATA Board2, MC-100, AlphaBeta2 : 0, 1, 0
PLAYDATA Board2, MC-100, AlphaBeta4 : 0, 1, 0
PLAYDATA Board2, MCT, random100 : 1, 0, 0
PLAYDATA Board2, MCT, hyouka-0-100 : 0, 1, 0
PLAYDATA Board2, MCT, MC-100 : 0, 1, 0
PLAYDATA Board2, MCT, MCT : 0, 1, 0
PLAYDATA Board2, MCT, EPT_MCT1730 : 0, 1, 0
PLAYDATA Board2, MCT, EPT_MCT8500 : 0, 1, 0
PLAYDATA Board2, MCT, AlphaBeta1 : 0, 1, 0
PLAYDATA Board2, MCT, AlphaBeta2 : 0, 1, 0
PLAYDATA Board2, MCT, AlphaBeta4 : 0, 1, 0
PLAYDATA Board2, EPT_MCT1730, random100 : 1, 0, 0
PLAYDATA Board2, EPT_MCT1730, hyouka-0-100 : 1, 0, 0
PLAYDATA Board2, EPT_MCT1730, MC-100 : 1, 0, 0
PLAYDATA Board2, EPT_MCT1730, MCT : 1, 0, 0
PLAYDATA Board2, EPT_MCT1730, EPT_MCT1730 : 0, 1, 0
PLAYDATA Board2, EPT_MCT1730, EPT_MCT8500 : 0, 1, 0
PLAYDATA Board2, EPT_MCT1730, AlphaBeta1 : 1, 0, 0
PLAYDATA Board2, EPT_MCT1730, AlphaBeta2 : 0, 1, 0
PLAYDATA Board2, EPT_MCT1730, AlphaBeta4 : 0, 1, 0
PLAYDATA Board2, EPT_MCT8500, random100 : 1, 0, 0
PLAYDATA Board2, EPT_MCT8500, hyouka-0-100 : 1, 0, 0
PLAYDATA Board2, EPT_MCT8500, MC-100 : 1, 0, 0
PLAYDATA Board2, EPT_MCT8500, MCT : 1, 0, 0
PLAYDATA Board2, EPT_MCT8500, EPT_MCT1730 : 1, 0, 0
PLAYDATA Board2, EPT_MCT8500, EPT_MCT8500 : 0, 1, 0
PLAYDATA Board2, EPT_MCT8500, AlphaBeta1 : 1, 0, 0
PLAYDATA Board2, EPT_MCT8500, AlphaBeta2 : 0, 1, 0
PLAYDATA Board2, EPT_MCT8500, AlphaBeta4 : 0, 1, 0
PLAYDATA Board2, AlphaBeta1, random100 : 1, 0, 0
PLAYDATA Board2, AlphaBeta1, hyouka-0-100 : 1, 0, 0
PLAYDATA Board2, AlphaBeta1, MC-100 : 1, 0, 0
PLAYDATA Board2, AlphaBeta1, MCT : 0, 1, 0
PLAYDATA Board2, AlphaBeta1, EPT_MCT1730 : 0, 1, 0
PLAYDATA Board2, AlphaBeta1, EPT_MCT8500 : 0, 1, 0
PLAYDATA Board2, AlphaBeta1, AlphaBeta1 : 0, 1, 0
PLAYDATA Board2, AlphaBeta1, AlphaBeta2 : 0, 1, 0
PLAYDATA Board2, AlphaBeta1, AlphaBeta4 : 0, 1, 0
PLAYDATA Board2, AlphaBeta2, random100 : 1, 0, 0
PLAYDATA Board2, AlphaBeta2, hyouka-0-100 : 1, 0, 0
PLAYDATA Board2, AlphaBeta2, MC-100 : 1, 0, 0
PLAYDATA Board2, AlphaBeta2, MCT : 1, 0, 0
PLAYDATA Board2, AlphaBeta2, EPT_MCT1730 : 0, 1, 0
PLAYDATA Board2, AlphaBeta2, EPT_MCT8500 : 0, 1, 0
PLAYDATA Board2, AlphaBeta2, AlphaBeta1 : 1, 0, 0
PLAYDATA Board2, AlphaBeta2, AlphaBeta2 : 0, 1, 0
PLAYDATA Board2, AlphaBeta2, AlphaBeta4 : 0, 1, 0
PLAYDATA Board2, AlphaBeta4, random100 : 1, 0, 0
PLAYDATA Board2, AlphaBeta4, hyouka-0-100 : 1, 0, 0
PLAYDATA Board2, AlphaBeta4, MC-100 : 1, 0, 0
PLAYDATA Board2, AlphaBeta4, MCT : 1, 0, 0
PLAYDATA Board2, AlphaBeta4, EPT_MCT1730 : 1, 0, 0
PLAYDATA Board2, AlphaBeta4, EPT_MCT8500 : 0, 1, 0
PLAYDATA Board2, AlphaBeta4, AlphaBeta1 : 1, 0, 0
PLAYDATA Board2, AlphaBeta4, AlphaBeta2 : 1, 0, 0
PLAYDATA Board2, AlphaBeta4, AlphaBeta4 : 0, 1, 0
PLAYDATA Board3, random100, random100 : 0, 1, 0
PLAYDATA Board3, random100, hyouka-0-100 : 0, 1, 0
PLAYDATA Board3, random100, MC-100 : 0, 1, 0
PLAYDATA Board3, random100, MCT : 0, 1, 0
PLAYDATA Board3, random100, EPT_MCT1730 : 0, 1, 0
PLAYDATA Board3, random100, EPT_MCT8500 : 0, 1, 0
PLAYDATA Board3, random100, AlphaBeta1 : 0, 1, 0
PLAYDATA Board3, random100, AlphaBeta2 : 0, 1, 0
PLAYDATA Board3, random100, AlphaBeta4 : 0, 1, 0
PLAYDATA Board3, hyouka-0-100, random100 : 1, 0, 0
PLAYDATA Board3, hyouka-0-100, hyouka-0-100 : 1, 0, 0
PLAYDATA Board3, hyouka-0-100, MC-100 : 1, 0, 0
PLAYDATA Board3, hyouka-0-100, MCT : 1, 0, 0
PLAYDATA Board3, hyouka-0-100, EPT_MCT1730 : 0, 1, 0
PLAYDATA Board3, hyouka-0-100, EPT_MCT8500 : 0, 1, 0
PLAYDATA Board3, hyouka-0-100, AlphaBeta1 : 1, 0, 0
PLAYDATA Board3, hyouka-0-100, AlphaBeta2 : 0, 1, 0
PLAYDATA Board3, hyouka-0-100, AlphaBeta4 : 1, 0, 0
PLAYDATA Board3, MC-100, random100 : 1, 0, 0
PLAYDATA Board3, MC-100, hyouka-0-100 : 1, 0, 0
PLAYDATA Board3, MC-100, MC-100 : 1, 0, 0
PLAYDATA Board3, MC-100, MCT : 0, 1, 0
PLAYDATA Board3, MC-100, EPT_MCT1730 : 0, 1, 0
PLAYDATA Board3, MC-100, EPT_MCT8500 : 0, 1, 0
PLAYDATA Board3, MC-100, AlphaBeta1 : 0, 1, 0
PLAYDATA Board3, MC-100, AlphaBeta2 : 0, 1, 0
PLAYDATA Board3, MC-100, AlphaBeta4 : 0, 1, 0
PLAYDATA Board3, MCT, random100 : 1, 0, 0
PLAYDATA Board3, MCT, hyouka-0-100 : 1, 0, 0
PLAYDATA Board3, MCT, MC-100 : 1, 0, 0
PLAYDATA Board3, MCT, MCT : 1, 0, 0
PLAYDATA Board3, MCT, EPT_MCT1730 : 0, 1, 0
PLAYDATA Board3, MCT, EPT_MCT8500 : 0, 1, 0
PLAYDATA Board3, MCT, AlphaBeta1 : 0, 1, 0
PLAYDATA Board3, MCT, AlphaBeta2 : 0, 1, 0
PLAYDATA Board3, MCT, AlphaBeta4 : 0, 1, 0
PLAYDATA Board3, EPT_MCT1730, random100 : 1, 0, 0
PLAYDATA Board3, EPT_MCT1730, hyouka-0-100 : 1, 0, 0
PLAYDATA Board3, EPT_MCT1730, MC-100 : 1, 0, 0
PLAYDATA Board3, EPT_MCT1730, MCT : 1, 0, 0
PLAYDATA Board3, EPT_MCT1730, EPT_MCT1730 : 1, 0, 0
PLAYDATA Board3, EPT_MCT1730, EPT_MCT8500 : 1, 0, 0
PLAYDATA Board3, EPT_MCT1730, AlphaBeta1 : 1, 0, 0
PLAYDATA Board3, EPT_MCT1730, AlphaBeta2 : 0, 1, 0
PLAYDATA Board3, EPT_MCT1730, AlphaBeta4 : 0, 0, 1
PLAYDATA Board3, EPT_MCT8500, random100 : 1, 0, 0
PLAYDATA Board3, EPT_MCT8500, hyouka-0-100 : 1, 0, 0
PLAYDATA Board3, EPT_MCT8500, MC-100 : 1, 0, 0
PLAYDATA Board3, EPT_MCT8500, MCT : 1, 0, 0
PLAYDATA Board3, EPT_MCT8500, EPT_MCT1730 : 1, 0, 0
PLAYDATA Board3, EPT_MCT8500, EPT_MCT8500 : 1, 0, 0
PLAYDATA Board3, EPT_MCT8500, AlphaBeta1 : 1, 0, 0
PLAYDATA Board3, EPT_MCT8500, AlphaBeta2 : 1, 0, 0
PLAYDATA Board3, EPT_MCT8500, AlphaBeta4 : 1, 0, 0
PLAYDATA Board3, AlphaBeta1, random100 : 1, 0, 0
PLAYDATA Board3, AlphaBeta1, hyouka-0-100 : 1, 0, 0
PLAYDATA Board3, AlphaBeta1, MC-100 : 1, 0, 0
PLAYDATA Board3, AlphaBeta1, MCT : 1, 0, 0
PLAYDATA Board3, AlphaBeta1, EPT_MCT1730 : 0, 1, 0
PLAYDATA Board3, AlphaBeta1, EPT_MCT8500 : 1, 0, 0
PLAYDATA Board3, AlphaBeta1, AlphaBeta1 : 1, 0, 0
PLAYDATA Board3, AlphaBeta1, AlphaBeta2 : 1, 0, 0
PLAYDATA Board3, AlphaBeta1, AlphaBeta4 : 0, 1, 0
PLAYDATA Board3, AlphaBeta2, random100 : 1, 0, 0
PLAYDATA Board3, AlphaBeta2, hyouka-0-100 : 1, 0, 0
PLAYDATA Board3, AlphaBeta2, MC-100 : 1, 0, 0
PLAYDATA Board3, AlphaBeta2, MCT : 1, 0, 0
PLAYDATA Board3, AlphaBeta2, EPT_MCT1730 : 1, 0, 0
PLAYDATA Board3, AlphaBeta2, EPT_MCT8500 : 1, 0, 0
PLAYDATA Board3, AlphaBeta2, AlphaBeta1 : 1, 0, 0
PLAYDATA Board3, AlphaBeta2, AlphaBeta2 : 0, 1, 0
PLAYDATA Board3, AlphaBeta2, AlphaBeta4 : 0, 1, 0
PLAYDATA Board3, AlphaBeta4, random100 : 1, 0, 0
PLAYDATA Board3, AlphaBeta4, hyouka-0-100 : 1, 0, 0
PLAYDATA Board3, AlphaBeta4, MC-100 : 1, 0, 0
PLAYDATA Board3, AlphaBeta4, MCT : 1, 0, 0
PLAYDATA Board3, AlphaBeta4, EPT_MCT1730 : 1, 0, 0
PLAYDATA Board3, AlphaBeta4, EPT_MCT8500 : 1, 0, 0
PLAYDATA Board3, AlphaBeta4, AlphaBeta1 : 1, 0, 0
PLAYDATA Board3, AlphaBeta4, AlphaBeta2 : 1, 0, 0
PLAYDATA Board3, AlphaBeta4, AlphaBeta4 : 1, 0, 0
PLAYDATA Board4, random100, random100 : 1, 0, 0
PLAYDATA Board4, random100, hyouka-0-100 : 0, 1, 0
PLAYDATA Board4, random100, MC-100 : 0, 1, 0
PLAYDATA Board4, random100, MCT : 0, 1, 0
PLAYDATA Board4, random100, EPT_MCT1730 : 0, 1, 0
PLAYDATA Board4, random100, EPT_MCT8500 : 0, 1, 0
PLAYDATA Board4, random100, AlphaBeta1 : 0, 1, 0
PLAYDATA Board4, random100, AlphaBeta2 : 0, 1, 0
PLAYDATA Board4, random100, AlphaBeta4 : 0, 1, 0
PLAYDATA Board4, hyouka-0-100, random100 : 1, 0, 0
PLAYDATA Board4, hyouka-0-100, hyouka-0-100 : 1, 0, 0
PLAYDATA Board4, hyouka-0-100, MC-100 : 0, 1, 0
PLAYDATA Board4, hyouka-0-100, MCT : 0, 1, 0
PLAYDATA Board4, hyouka-0-100, EPT_MCT1730 : 0, 1, 0
PLAYDATA Board4, hyouka-0-100, EPT_MCT8500 : 0, 1, 0
PLAYDATA Board4, hyouka-0-100, AlphaBeta1 : 0, 1, 0
PLAYDATA Board4, hyouka-0-100, AlphaBeta2 : 0, 1, 0
PLAYDATA Board4, hyouka-0-100, AlphaBeta4 : 0, 1, 0
PLAYDATA Board4, MC-100, random100 : 1, 0, 0
PLAYDATA Board4, MC-100, hyouka-0-100 : 0, 1, 0
PLAYDATA Board4, MC-100, MC-100 : 0, 1, 0
PLAYDATA Board4, MC-100, MCT : 1, 0, 0
PLAYDATA Board4, MC-100, EPT_MCT1730 : 0, 1, 0
PLAYDATA Board4, MC-100, EPT_MCT8500 : 0, 1, 0
PLAYDATA Board4, MC-100, AlphaBeta1 : 0, 1, 0
PLAYDATA Board4, MC-100, AlphaBeta2 : 0, 1, 0
PLAYDATA Board4, MC-100, AlphaBeta4 : 0, 1, 0
